000: <2021-08-17 : 21:18:56 - 2652> ~ <GAME> : An entity was created!
001: <2021-08-17 : 21:18:56 - 2653> ~ <GAME> : An entity was initialized!
002: <2021-08-17 : 21:19:05 - 11142> ~ <GAME> : An entity was destroyed!
not SoftwareComponent skipping
002: <2021-08-17 : 21:18:54 - 424> ~ <ENGINE> : Searching for ICD drivers named .\nvoglv32.dll
073: <2021-08-17 : 21:18:54 - 654> ~ <ENGINE> : Device Extension: VK_KHR_shader_float16_int8 (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_4a746d937e6a7240\.\nvoglv32.dll) version 0.0.1
074: <2021-08-17 : 21:18:54 - 655> ~ <ENGINE> : Device Extension: VK_KHR_shader_float_controls (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_4a746d937e6a7240\.\nvoglv32.dll) version 0.0.4
075: <2021-08-17 : 21:18:54 - 655> ~ <ENGINE> : Device Extension: VK_KHR_shader_non_semantic_info (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_4a746d937e6a7240\.\nvoglv32.dll) version 0.0.1
076: <2021-08-17 : 21:18:54 - 656> ~ <ENGINE> : Device Extension: VK_KHR_shader_subgroup_extended_types (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_4a746d937e6a7240\.\nvoglv32.dll) version 0.0.1
077: <2021-08-17 : 21:18:54 - 657> ~ <ENGINE> : Device Extension: VK_KHR_shader_terminate_invocation (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_4a746d937e6a7240\.\nvoglv32.dll) version 0.0.1
078: <2021-08-17 : 21:18:54 - 658> ~ <ENGINE> : Device Extension: VK_KHR_spirv_1_4 (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_4a746d937e6a7240\.\nvoglv32.dll) version 0.0.1
079: <2021-08-17 : 21:18:54 - 658> ~ <ENGINE> : Device Extension: VK_KHR_storage_buffer_storage_class (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_4a746d937e6a7240\.\nvoglv32.dll) version 0.0.1
080: <2021-08-17 : 21:18:54 - 664> ~ <ENGINE> : Device Extension: VK_KHR_swapchain (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_4a746d937e6a7240\.\nvoglv32.dll) version 0.0.70
081: <2021-08-17 : 21:18:54 - 669> ~ <ENGINE> : Device Extension: VK_KHR_swapchain_mutable_format (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_4a746d937e6a7240\.\nvoglv32.dll) version 0.0.1
082: <2021-08-17 : 21:18:54 - 670> ~ <ENGINE> : Device Extension: VK_KHR_synchronization2 (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_4a746d937e6a7240\.\nvoglv32.dll) version 0.0.1
083: <2021-08-17 : 21:18:54 - 674> ~ <ENGINE> : Device Extension: VK_KHR_timeline_semaphore (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_4a746d937e6a7240\.\nvoglv32.dll) version 0.0.2
084: <2021-08-17 : 21:18:54 - 677> ~ <ENGINE> : Device Extension: VK_KHR_uniform_buffer_standard_layout (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_4a746d937e6a7240\.\nvoglv32.dll) version 0.0.1
085: <2021-08-17 : 21:18:54 - 680> ~ <ENGINE> : Device Extension: VK_KHR_variable_pointers (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_4a746d937e6a7240\.\nvoglv32.dll) version 0.0.1
086: <2021-08-17 : 21:18:54 - 694> ~ <ENGINE> : Device Extension: VK_KHR_vulkan_memory_model (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_4a746d937e6a7240\.\nvoglv32.dll) version 0.0.3
087: <2021-08-17 : 21:18:54 - 698> ~ <ENGINE> : Device Extension: VK_KHR_win32_keyed_mutex (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_4a746d937e6a7240\.\nvoglv32.dll) version 0.0.1
088: <2021-08-17 : 21:18:54 - 699> ~ <ENGINE> : Device Extension: VK_KHR_workgroup_memory_explicit_layout (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_4a746d937e6a7240\.\nvoglv32.dll) version 0.0.1
089: <2021-08-17 : 21:18:54 - 700> ~ <ENGINE> : Device Extension: VK_KHR_zero_initialize_workgroup_memory (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_4a746d937e6a7240\.\nvoglv32.dll) version 0.0.1
090: <2021-08-17 : 21:18:54 - 701> ~ <ENGINE> : Device Extension: VK_EXT_4444_formats (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_4a746d937e6a7240\.\nvoglv32.dll) version 0.0.1
091: <2021-08-17 : 21:18:54 - 703> ~ <ENGINE> : Device Extension: VK_EXT_blend_operation_advanced (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_4a746d937e6a7240\.\nvoglv32.dll) version 0.0.2
